year,country,cluster,pop,life_expect,fertility,longitude,latitude
1985,Israel,5,4074965,75.6,3.051,35.00444995,31.4611019
1990,Israel,5,4512068,76.93,2.933,35.00444995,31.4611019
1995,Israel,5,5305120,78.269,2.942,35.00444995,31.4611019
2000,Israel,5,5842454,79.696,2.906,35.00444995,31.4611019
2005,Israel,5,6276883,80.745,2.75,35.00444995,31.4611019
1955,Italy,1,48633000,67.81,2.35,12.07000946,42.79663568
1960,Italy,1,50197600,69.24,2.498,12.07000946,42.79663568
1965,Italy,1,51987100,71.06,2.493,12.07000946,42.79663568
1970,Italy,1,53661100,72.19,2.325,12.07000946,42.79663568
1975,Italy,1,55571894,73.48,1.889,12.07000946,42.79663568
1980,Italy,1,56451247,74.98,1.53,12.07000946,42.79663568
1985,Italy,1,56731215,76.42,1.349,12.07000946,42.79663568
1990,Italy,1,56742886,77.44,1.275,12.07000946,42.79663568
1995,Italy,1,57274531,78.82,1.213,12.07000946,42.79663568
2000,Italy,1,57719337,80.24,1.286,12.07000946,42.79663568
2005,Italy,1,58103033,80.546,1.379,12.07000946,42.79663568
1955,Jamaica,3,1488805,62.61,5.08,-77.31482556,18.15695476
1960,Jamaica,3,1631784,65.61,5.64,-77.31482556,18.15695476
1965,Jamaica,3,1777397,67.51,5.78,-77.31482556,18.15695476
1970,Jamaica,3,1943787,69,5,-77.31482556,18.15695476
1975,Jamaica,3,2104879,70.11,4,-77.31482556,18.15695476
1980,Jamaica,3,2228803,71.21,3.55,-77.31482556,18.15695476
1985,Jamaica,3,2318652,71.77,3.1,-77.31482556,18.15695476
1990,Jamaica,3,2347922,71.766,2.84,-77.31482556,18.15695476
1995,Jamaica,3,2469389,72.262,2.67,-77.31482556,18.15695476
2000,Jamaica,3,2615467,72.047,2.628,-77.31482556,18.15695476
2005,Jamaica,3,2735520,72.567,2.4289,-77.31482556,18.15695476
1955,Japan,4,89815060,65.5,2.08,138.0308921,37.59230065
1960,Japan,4,94091638,68.73,2.02,138.0308921,37.59230065
1965,Japan,4,98882534,71.43,2,138.0308921,37.59230065
1970,Japan,4,104344973,73.42,2.07,138.0308921,37.59230065
1975,Japan,4,111573116,75.38,1.81,138.0308921,37.59230065
1980,Japan,4,116807309,77.11,1.76,138.0308921,37.59230065
1985,Japan,4,120754335,78.67,1.66,138.0308921,37.59230065
1990,Japan,4,123537399,79.36,1.49,138.0308921,37.59230065
1995,Japan,4,125341354,80.69,1.39,138.0308921,37.59230065
2000,Japan,4,126699784,82,1.291,138.0308921,37.59230065
2005,Japan,4,127417244,82.603,1.27,138.0308921,37.59230065
1955,Kenya,2,7033999,44.686,7.816,37.79594437,0.5998746
1960,Kenya,2,8156827,47.949,8.12,37.79594437,0.5998746
1965,Kenya,2,9549179,50.654,8.12,37.79594437,0.5998746
1970,Kenya,2,11247182,53.559,8,37.79594437,0.5998746
1975,Kenya,2,13433414,56.155,7.6,37.79594437,0.5998746
1980,Kenya,2,16331401,58.766,7.2,37.79594437,0.5998746
1985,Kenya,2,19763285,59.339,6.5,37.79594437,0.5998746
1990,Kenya,2,23358413,59.285,5.4,37.79594437,0.5998746
1995,Kenya,2,27060142,54.407,5,37.79594437,0.5998746
2000,Kenya,2,29985839,50.992,5,37.79594437,0.5998746
2005,Kenya,2,33829590,54.11,4.959,37.79594437,0.5998746
1955,South Korea,4,8839427,54.081,3.8,127.8391693,36.3852463
1960,South Korea,4,10391909,56.656,3.41,127.8391693,36.3852463
1965,South Korea,4,11868751,59.942,4.09,127.8391693,36.3852463
1970,South Korea,4,13911902,63.983,3.72,127.8391693,36.3852463
1975,South Korea,4,15801308,67.159,2.58,127.8391693,36.3852463
1980,South Korea,4,17113626,69.1,2.93,127.8391693,36.3852463
1985,South Korea,4,18481420,70.647,2.45,127.8391693,36.3852463
1990,South Korea,4,20018546,69.978,2.35,127.8391693,36.3852463
1995,South Korea,4,21561856,67.727,2.0938,127.8391693,36.3852463
2000,South Korea,4,21647682,66.662,1.9173,127.8391693,36.3852463
2005,South Korea,4,22912177,67.297,1.85,127.8391693,36.3852463
1955,North Korea,4,21551834,52.681,6.332,127.1924781,40.15350291
1960,North Korea,4,24784140,55.292,5.63,127.1924781,40.15350291
1965,North Korea,4,28705000,57.716,4.708,127.1924781,40.15350291
1970,North Korea,4,32241000,62.612,4.281,127.1924781,40.15350291
1975,North Korea,4,35281000,64.766,2.919,127.1924781,40.15350291
1980,North Korea,4,38124000,67.123,2.234,127.1924781,40.15350291
1985,North Korea,4,40806000,69.81,1.601,127.1924781,40.15350291
1990,North Korea,4,42869000,72.244,1.696,127.1924781,40.15350291
1995,North Korea,4,45264146,74.647,1.514,127.1924781,40.15350291
2000,North Korea,4,47351083,77.045,1.242,127.1924781,40.15350291
2005,North Korea,4,48640671,78.623,1.21,127.1924781,40.15350291
1955,Lebanon,5,1560985,59.489,5.72,35.88016327,33.92306993
1960,Lebanon,5,1786235,62.094,5.689,35.88016327,33.92306993
1965,Lebanon,5,2057945,63.87,5.336,35.88016327,33.92306993
1970,Lebanon,5,2383029,65.421,4.78,35.88016327,33.92306993
1975,Lebanon,5,3098159,66.099,4.311,35.88016327,33.92306993
1980,Lebanon,5,3085876,66.983,3.895,35.88016327,33.92306993
1985,Lebanon,5,3088235,67.926,3.313,35.88016327,33.92306993
1990,Lebanon,5,3147267,69.292,3,35.88016327,33.92306993
1995,Lebanon,5,3334733,70.265,2.695,35.88016327,33.92306993
2000,Lebanon,5,3578036,71.028,2.319,35.88016327,33.92306993
2005,Lebanon,5,3826018,71.993,2.209,35.88016327,33.92306993
1955,Mexico,3,32929914,55.19,6.8,-102.5234504,23.94753932
1960,Mexico,3,38578505,58.299,6.7495,-102.5234504,23.94753932
1965,Mexico,3,45142399,60.11,6.7495,-102.5234504,23.94753932
1970,Mexico,3,52775158,62.361,6.5,-102.5234504,23.94753932
1975,Mexico,3,60678045,65.032,5.2505,-102.5234504,23.94753932
1980,Mexico,3,68347479,67.405,4.25,-102.5234504,23.94753932
1985,Mexico,3,76767225,69.498,3.6295,-102.5234504,23.94753932
1990,Mexico,3,84913652,71.455,3.1905,-102.5234504,23.94753932
1995,Mexico,3,92880353,73.67,2.6705,-102.5234504,23.94753932
2000,Mexico,3,99926620,74.902,2.4005,-102.5234504,23.94753932
2005,Mexico,3,106202903,76.195,2.211,-102.5234504,23.94753932
1955,Netherlands,1,10750842,72.99,3.095,5.2814735,52.10080804
1960,Netherlands,1,11486000,73.23,3.168,5.2814735,52.10080804
1965,Netherlands,1,12292000,73.82,2.797,5.2814735,52.10080804
1970,Netherlands,1,13032335,73.75,2.059,5.2814735,52.10080804
1975,Netherlands,1,13653438,75.24,1.596,5.2814735,52.10080804
1980,Netherlands,1,14143901,76.05,1.515,5.2814735,52.10080804
1985,Netherlands,1,14491380,76.83,1.555,5.2814735,52.10080804
1990,Netherlands,1,14951510,77.42,1.583,5.2814735,52.10080804
1995,Netherlands,1,15459054,78.03,1.6,5.2814735,52.10080804
2000,Netherlands,1,15907853,78.53,1.726,5.2814735,52.10080804
2005,Netherlands,1,16407491,79.762,1.721,5.2814735,52.10080804
1955,New Zealand,4,2136168,70.26,4.07,171.4849539,-41.81112825
1960,New Zealand,4,2371746,71.24,4.022,171.4849539,-41.81112825
1965,New Zealand,4,2640400,71.52,3.348,171.4849539,-41.81112825
1970,New Zealand,4,2828050,71.89,2.843,171.4849539,-41.81112825
1975,New Zealand,4,3117800,72.22,2.178,171.4849539,-41.81112825
1980,New Zealand,4,3170150,73.84,1.963,171.4849539,-41.81112825
1985,New Zealand,4,3298050,74.32,2.053,171.4849539,-41.81112825
1990,New Zealand,4,3359604,76.33,2.061,171.4849539,-41.81112825
1995,New Zealand,4,3565990,77.55,1.952,171.4849539,-41.81112825
2000,New Zealand,4,3819762,79.11,1.964,171.4849539,-41.81112825
2005,New Zealand,4,4035461,80.204,1.994,171.4849539,-41.81112825
1955,Nigeria,2,35458978,37.802,6.9,8.08944243,9.59411807
1960,Nigeria,2,39914593,39.36,6.9,8.08944243,9.59411807
1965,Nigeria,2,45020052,41.04,6.9,8.08944243,9.59411807
1970,Nigeria,2,51027516,42.821,6.9,8.08944243,9.59411807
1975,Nigeria,2,58522112,44.514,6.9,8.08944243,9.59411807
1980,Nigeria,2,68550274,45.826,6.9,8.08944243,9.59411807
1985,Nigeria,2,77573154,46.886,6.834,8.08944243,9.59411807
1990,Nigeria,2,88510354,47.472,6.635,8.08944243,9.59411807
1995,Nigeria,2,100960105,47.464,6.246,8.08944243,9.59411807
2000,Nigeria,2,114306700,46.608,5.845,8.08944243,9.59411807
2005,Nigeria,2,128765768,46.859,5.322,8.08944243,9.59411807
1955,Norway,1,3427409,73.44,2.837,15.34832968,68.75014407
1960,Norway,1,3581239,73.47,2.898,15.34832968,68.75014407
1965,Norway,1,3723153,74.08,2.719,15.34832968,68.75014407
1970,Norway,1,3877386,74.34,2.248,15.34832968,68.75014407
1975,Norway,1,4007313,75.37,1.81,15.34832968,68.75014407
1980,Norway,1,4085620,75.97,1.687,15.34832968,68.75014407
1985,Norway,1,4152419,75.89,1.8,15.34832968,68.75014407
1990,Norway,1,4242006,77.32,1.886,15.34832968,68.75014407
1995,Norway,1,4359101,78.32,1.853,15.34832968,68.75014407
2000,Norway,1,4492400,79.05,1.801,15.34832968,68.75014407
2005,Norway,1,4593041,80.196,1.848,15.34832968,68.75014407
1955,Pakistan,0,44434445,45.557,6.6,69.33958027,29.94975221
1960,Pakistan,0,50386898,47.67,6.6,69.33958027,29.94975221
1965,Pakistan,0,57494940,49.8,6.6,69.33958027,29.94975221
1970,Pakistan,0,65705964,51.929,6.6,69.33958027,29.94975221
1975,Pakistan,0,74711541,54.043,6.6,69.33958027,29.94975221
1980,Pakistan,0,85219117,56.158,6.6,69.33958027,29.94975221
1985,Pakistan,0,99060352,58.245,6.66,69.33958027,29.94975221
1990,Pakistan,0,114578478,60.838,5.8,69.33958027,29.94975221
1995,Pakistan,0,128690285,61.818,4.9596,69.33958027,29.94975221
2000,Pakistan,0,146342958,63.61,3.9936,69.33958027,29.94975221
2005,Pakistan,0,162419946,65.483,3.5211,69.33958027,29.94975221
1955,Peru,3,8671500,46.263,6.853,-74.38242889,-9.15280281
1960,Peru,3,9931000,49.096,6.853,-74.38242889,-9.15280281
1965,Peru,3,11467300,51.445,6.56,-74.38242889,-9.15280281
1970,Peru,3,13192800,55.448,6,-74.38242889,-9.15280281
1975,Peru,3,15161199,58.447,5.378,-74.38242889,-9.15280281
1980,Peru,3,17295298,61.406,4.65,-74.38242889,-9.15280281
1985,Peru,3,19348926,64.134,4.1,-74.38242889,-9.15280281
1990,Peru,3,21511443,66.458,3.7,-74.38242889,-9.15280281
1995,Peru,3,23846388,68.386,3.0995,-74.38242889,-9.15280281
2000,Peru,3,25979722,69.906,2.7005,-74.38242889,-9.15280281
2005,Peru,3,27925628,71.421,2.5065,-74.38242889,-9.15280281
1955,Philippines,4,24553055,51.334,7.13,122.8839215,11.77539737
1960,Philippines,4,28528939,54.757,6.85,122.8839215,11.77539737
1965,Philippines,4,33267569,56.393,6.5,122.8839215,11.77539737
1970,Philippines,4,38603696,58.065,6,122.8839215,11.77539737
1975,Philippines,4,44336842,60.06,5.5,122.8839215,11.77539737
1980,Philippines,4,50940182,62.082,4.95,122.8839215,11.77539737
1985,Philippines,4,57288037,64.151,4.55,122.8839215,11.77539737
1990,Philippines,4,64318120,66.458,4.143,122.8839215,11.77539737
1995,Philippines,4,71717437,68.564,3.7248,122.8839215,11.77539737
2000,Philippines,4,79739825,70.303,3.5436,122.8839215,11.77539737
2005,Philippines,4,87857473,71.688,3.2327,122.8839215,11.77539737
1955,Poland,1,27220668,65.77,3.29,19.39011841,52.12759537
1960,Poland,1,29589842,67.64,2.65,19.39011841,52.12759537
1965,Poland,1,31262358,69.61,2.27,19.39011841,52.12759537
1970,Poland,1,32526000,70.85,2.25,19.39011841,52.12759537
1975,Poland,1,33969240,70.67,2.26,19.39011841,52.12759537
1980,Poland,1,35578016,71.32,2.33,19.39011841,52.12759537
1985,Poland,1,37225792,70.98,2.15,19.39011841,52.12759537
1990,Poland,1,38119408,70.99,1.89,19.39011841,52.12759537
1995,Poland,1,38600642,72.75,1.478,19.39011841,52.12759537
2000,Poland,1,38654164,74.67,1.251,19.39011841,52.12759537
2005,Poland,1,38557984,75.563,1.227,19.39011841,52.12759537
1955,Portugal,1,8692600,61.51,3.03,-8.50105506,39.59550247
1960,Portugal,1,9036700,64.39,3.074,-8.50105506,39.59550247
1965,Portugal,1,9128850,66.6,2.849,-8.50105506,39.59550247
1970,Portugal,1,9044200,69.26,2.748,-8.50105506,39.59550247
1975,Portugal,1,9411090,70.41,2.41,-8.50105506,39.59550247
1980,Portugal,1,9777800,72.77,1.982,-8.50105506,39.59550247
1985,Portugal,1,9897192,74.06,1.594,-8.50105506,39.59550247
1990,Portugal,1,9922689,74.86,1.516,-8.50105506,39.59550247
1995,Portugal,1,10065543,75.97,1.475,-8.50105506,39.59550247
2000,Portugal,1,10335597,77.29,1.454,-8.50105506,39.59550247
2005,Portugal,1,10566212,78.098,1.455,-8.50105506,39.59550247
1955,Rwanda,2,2698272,41.5,8,29.91989113,-1.99033199
1960,Rwanda,2,3031804,43,8.1,29.91989113,-1.99033199
1965,Rwanda,2,3264640,44.1,8.2,29.91989113,-1.99033199
1970,Rwanda,2,3769171,44.6,8.29,29.91989113,-1.99033199
1975,Rwanda,2,4356863,45,8.492,29.91989113,-1.99033199
1980,Rwanda,2,5138689,46.218,8.5,29.91989113,-1.99033199
1985,Rwanda,2,6009833,44.02,8.25,29.91989113,-1.99033199
1990,Rwanda,2,6923738,23.599,6.9,29.91989113,-1.99033199
1995,Rwanda,2,5706501,36.087,6.0993,29.91989113,-1.99033199
2000,Rwanda,2,7507056,43.413,6.01,29.91989113,-1.99033199
2005,Rwanda,2,8440820,46.242,5.9169,29.91989113,-1.99033199
1955,Saudi Arabia,5,4243218,42.868,7.175,44.53687041,24.12245467
1960,Saudi Arabia,5,4718301,45.914,7.257,44.53687041,24.12245467
1965,Saudi Arabia,5,5327432,49.901,7.257,44.53687041,24.12245467
1970,Saudi Arabia,5,6109051,53.886,7.298,44.53687041,24.12245467
1975,Saudi Arabia,5,7204820,58.69,7.278,44.53687041,24.12245467
1980,Saudi Arabia,5,9999161,63.012,7.015,44.53687041,24.12245467
1985,Saudi Arabia,5,13330067,66.295,6.217,44.53687041,24.12245467
1990,Saudi Arabia,5,16060761,68.768,5.446,44.53687041,24.12245467
1995,Saudi Arabia,5,19966998,70.533,4.621,44.53687041,24.12245467
2000,Saudi Arabia,5,23153090,71.626,3.81,44.53687041,24.12245467
2005,Saudi Arabia,5,26417599,72.777,3.352,44.53687041,24.12245467
1955,South Africa,2,15368551,47.985,6.5,25.08388384,-29.0003377
1960,South Africa,2,17416653,49.951,6.3,25.08388384,-29.0003377
1965,South Africa,2,19898242,51.927,5.7,25.08388384,-29.0003377
1970,South Africa,2,22739921,53.696,5.47,25.08388384,-29.0003377
1975,South Africa,2,25815144,55.527,5,25.08388384,-29.0003377
1980,South Africa,2,29251588,58.161,4.556,25.08388384,-29.0003377
1985,South Africa,2,34254092,60.834,3.85,25.08388384,-29.0003377
1990,South Africa,2,38391094,61.888,3.343,25.08388384,-29.0003377
1995,South Africa,2,41779149,60.236,2.954,25.08388384,-29.0003377
2000,South Africa,2,44066197,53.365,2.802,25.08388384,-29.0003377
2005,South Africa,2,44344136,49.339,2.637,25.08388384,-29.0003377
1955,Spain,1,29318745,66.66,2.75,-3.64754874,40.24448626
1960,Spain,1,30641187,69.69,2.89,-3.64754874,40.24448626
1965,Spain,1,32084511,71.44,2.92,-3.64754874,40.24448626
1970,Spain,1,33876479,73.06,2.86,-3.64754874,40.24448626
1975,Spain,1,35563535,74.39,2.57,-3.64754874,40.24448626
1980,Spain,1,37488360,76.3,1.89,-3.64754874,40.24448626
1985,Spain,1,38534853,76.9,1.48,-3.64754874,40.24448626
1990,Spain,1,39350769,77.57,1.27,-3.64754874,40.24448626
1995,Spain,1,39749715,78.77,1.182,-3.64754874,40.24448626
2000,Spain,1,40016081,79.78,1.287,-3.64754874,40.24448626
2005,Spain,1,40341462,80.941,1.409,-3.64754874,40.24448626
1955,Switzerland,1,4980000,70.56,2.34,8.20866006,46.79785296
1960,Switzerland,1,5362000,71.32,2.51,8.20866006,46.79785296
1965,Switzerland,1,5943000,72.77,2.27,8.20866006,46.79785296
1970,Switzerland,1,6267000,73.78,1.82,8.20866006,46.79785296
1975,Switzerland,1,6403500,75.39,1.53,8.20866006,46.79785296
1980,Switzerland,1,6385229,76.21,1.53,8.20866006,46.79785296
1985,Switzerland,1,6563770,77.41,1.53,8.20866006,46.79785296
1990,Switzerland,1,6836626,78.03,1.54,8.20866006,46.79785296
1995,Switzerland,1,7157106,79.37,1.47,8.20866006,46.79785296
2000,Switzerland,1,7266920,80.62,1.415,8.20866006,46.79785296
2005,Switzerland,1,7489370,81.701,1.42,8.20866006,46.79785296
1955,Turkey,1,24144571,48.079,6.6,35.16895529,39.06160342
1960,Turkey,1,28217122,52.098,6.19,35.16895529,39.06160342
1965,Turkey,1,31950718,54.336,5.7,35.16895529,39.06160342
1970,Turkey,1,35758382,57.005,5.3,35.16895529,39.06160342
1975,Turkey,1,40529798,59.507,4.715,35.16895529,39.06160342
1980,Turkey,1,45120802,61.036,4.15,35.16895529,39.06160342
1985,Turkey,1,50669003,63.108,3.276,35.16895529,39.06160342
1990,Turkey,1,56084632,66.146,2.904,35.16895529,39.06160342
1995,Turkey,1,61188984,68.835,2.574,35.16895529,39.06160342
2000,Turkey,1,65666677,70.845,2.23,35.16895529,39.06160342
2005,Turkey,1,69660559,71.777,2.143,35.16895529,39.06160342
1955,United Kingdom,1,50946000,70.42,2.49,-2.86563362,54.12387156
1960,United Kingdom,1,52372000,70.76,2.81,-2.86563362,54.12387156
1965,United Kingdom,1,54350000,71.36,2.52,-2.86563362,54.12387156
1970,United Kingdom,1,55632000,72.01,2.04,-2.86563362,54.12387156
1975,United Kingdom,1,56215000,72.76,1.72,-2.86563362,54.12387156
1980,United Kingdom,1,56314000,74.04,1.8,-2.86563362,54.12387156
1985,United Kingdom,1,56620240,75.007,1.81,-2.86563362,54.12387156
1990,United Kingdom,1,57493307,76.42,1.78,-2.86563362,54.12387156
1995,United Kingdom,1,58426014,77.218,1.7,-2.86563362,54.12387156
2000,United Kingdom,1,59522468,78.471,1.695,-2.86563362,54.12387156
2005,United Kingdom,1,60441457,79.425,1.815,-2.86563362,54.12387156
1955,United States,3,165931000,69.49,3.706,-112.4616706,45.67955203
1960,United States,3,180671000,70.21,3.314,-112.4616706,45.67955203
1965,United States,3,194303000,70.76,2.545,-112.4616706,45.67955203
1970,United States,3,205052000,71.34,2.016,-112.4616706,45.67955203
1975,United States,3,215973000,73.38,1.788,-112.4616706,45.67955203
1980,United States,3,227726463,74.65,1.825,-112.4616706,45.67955203
1985,United States,3,238466283,75.02,1.924,-112.4616706,45.67955203
1990,United States,3,250131894,76.09,2.025,-112.4616706,45.67955203
1995,United States,3,266557091,76.81,1.994,-112.4616706,45.67955203
2000,United States,3,282338631,77.31,2.038,-112.4616706,45.67955203
2005,United States,3,295734134,78.242,2.054,-112.4616706,45.67955203
1955,Venezuela,3,6170497,57.907,6.4585,-66.18184085,7.12422395
1960,Venezuela,3,7556483,60.77,6.657,-66.18184085,7.12422395
1965,Venezuela,3,9067735,63.479,5.9045,-66.18184085,7.12422395
1970,Venezuela,3,10758017,65.712,4.941,-66.18184085,7.12422395
1975,Venezuela,3,12674987,67.456,4.4685,-66.18184085,7.12422395
1980,Venezuela,3,14767890,68.557,3.957,-66.18184085,7.12422395
1985,Venezuela,3,16997509,70.19,3.6485,-66.18184085,7.12422395
1990,Venezuela,3,19325222,71.15,3.25,-66.18184085,7.12422395
1995,Venezuela,3,21555902,72.146,2.9415,-66.18184085,7.12422395
2000,Venezuela,3,23542649,72.766,2.723,-66.18184085,7.12422395
2005,Venezuela,3,25375281,73.747,2.547,-66.18184085,7.12422395
